N,T,s,w,seed,extinction_time,edge_contact,late_distance_mean,final_R,final_P
150,30000,1.0,0.1,11,4576,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,12,8618,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,13,17296,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,14,3866,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.1,15,8908,1,0.3407486614390603,0.0,0.30666666666666664
150,30000,1.0,0.1,16,10875,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.1,17,4464,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,18,15818,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,19,10194,1,0.37639684210499325,0.0,0.14666666666666667
150,30000,1.0,0.5,0,7779,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,1,13345,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,2,19557,1,0.4082359332150886,0.0,0.08
150,30000,1.0,0.5,3,16443,1,0.7081794405176448,1.0,0.0
150,30000,1.0,0.5,4,4436,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,5,5438,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,6,5581,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,7,12439,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,8,10871,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,9,3764,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,10,7548,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,11,11827,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,12,4792,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,13,3199,1,0.4599862234559866,0.0,0.0
150,30000,1.0,0.5,14,15329,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,15,7989,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,16,8863,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,17,15737,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,18,11867,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,19,5390,1,0.4714045207910316,0.0,0.0
150,30000,1.0,1.0,0,6138,1,0.4714045207910316,0.0,0.0
